edge,daily,liq,spread,comp,dte,price,vol24,max_spread,min_size,q,cid
28.97,81.0,1796.0,0.01,0.993,27,0.585,2328.0,4.5,50,Will S&P 500 (SPY) hit (HIGH) $770 in June?,0x04a38371e90489b72020d3b91ca4fb6b29f853bbb6220c5b4060dd36480250c3
25.16,58.0,1305.0,0.01,0.982,27,0.365,2380.0,4.5,50,Will S&P 500 (SPY) hit (LOW) $730 in June?,0x08e5b7dac802303bc7125d8b9e8365f537b09749270262ac6116532656a2bce1
24.94,40.0,604.0,0.03,0.96,40,0.705,311.0,4.5,50,Will JP Morgan (JPM) Q2 investment banking fees be above,0x9f916afc35917adf98fa2d4ecca21bd04495e4a1b7c6f6ef8f74ef83f008af4f
21.44,36.0,679.0,0.03,0.999,27,0.475,205.0,4.5,50,"Will Amazon.com, Inc. (AMZN) hit (HIGH) $272 in June?",0x3d1f23629a51c51592cca031376632ad297135aa472c13a450366ecb5d83bc65
20.45,93.0,3547.0,0.01,0.994,27,0.425,8381.0,4.5,50,"Will Gold (XAUUSD) hit (LOW) $4,300 in June?",0x0c8c8e15e571932f9d39888f4a037b8a726363afa6308e27a7a68728b01b5f0c
19.73,101.0,4120.0,0.02,0.994,226,0.58,1607.0,4.5,20,Will Bola Tinubu win the 2027 Nigerian Presidential Elec,0xdb66349b5658e7ce54667294bb61ca2f98d68f8afde5c711284d7e9c5a5e5787
18.3,32.0,749.0,0.02,0.946,27,0.26,280.0,4.5,50,Will S&P 500 (SPY) hit (LOW) $720 in June?,0x830bc6c69ec24098543d6c4157929012ef945a5f382cb6aa9f42de22ffc1d735
17.63,29.0,645.0,0.04,1.0,27,0.51,686.0,4.5,50,Will Apple (AAPL) hit (HIGH) $328 in June?,0x66f35bec1003057b26db036ad8d6572b6adf342d136c0b7a5a8cfdfc8790dfad
16.64,98.0,4888.0,0.01,0.985,226,0.375,922.0,4.5,20,Will Peter Obi win the 2027 Nigerian Presidential Electi,0xe00cb03a0aefe8f4a06338da171a8df62edd2056622843931f4d5af4199afffe
16.55,28.0,692.0,0.02,0.999,27,0.47,266.0,4.5,50,Will Opendoor Technologies Inc. (OPEN) hit (LOW) $4.50 i,0x4864bd396903131416cee2c2dc7afe5c16778d78f86a69b910f00128918ad244
16.54,132.0,6981.0,0.01,0.997,75,0.555,5115.0,4.5,20,Will Loranne Ausley win the Tallahassee mayoral election,0x5e679f25f413ea3f2e6715c2453738b8311a4291fe26fbb7606469e4338ea554
16.27,106.0,5516.0,0.02,1.0,27,0.49,701.0,4.5,50,Will Silver (XAGUSD) hit (LOW) $70 in June?,0x7552dce1c0935117bcfaff5e77e0e783138bbda98a37a825bfc20a2e9cca2add
15.56,119.0,6648.0,0.02,0.998,27,0.54,1050.0,4.5,50,Will S&P 500 (SPY) hit (LOW) $740 in June?,0x5646776f837d1a7e348d1c731d3fe504fd46b71801b6be590cabc527df0d082d
15.37,64.0,3163.0,0.01,0.982,27,0.635,2300.0,4.5,50,"Will Gold (XAUUSD) hit (HIGH) $4,600 in June?",0xbd8fee7c09a57fa5010ef017f0198f1abf74b43a673948f5ebb38e1c4d8eaa32
15.23,20.0,313.0,0.02,0.992,576,0.41,742.0,4.5,20,"Will 3jane launch a token by December 31, 2026?",0x3c3215d3e88710d0f2f62ba9458d29e1350fcd5608112d6b8791934b587d30db
14.68,200.0,12626.0,0.01,0.97,27,0.325,14703.0,5.5,50,Will WTI Crude Oil (WTI) hit (HIGH) $110 in June?,0xadba518e3da8a4986a9a215cdbda8b093e22e85413b2a79d6832f92d6e921a6a
14.26,40.0,1805.0,0.02,0.902,211,0.83,669.0,4.5,20,"Will Propr launch a token by December 31, 2026?",0xfa1adb0d1f827d57d45c09f777af10c55e6bff9b5181a2c71f44a3474549fd30
14.05,20.0,423.0,0.01,0.999,211,0.526,309.0,4.5,20,"Will Curvance launch a token by December 31, 2026?",0xe17ec48f01f4196c66a49641bb57d83016f9f7427fe3974afa402bb4c2f27fc7
13.53,70.0,4175.0,0.02,0.983,27,0.37,3176.0,4.5,50,"Will Gold (XAUUSD) hit (HIGH) $4,700 in June?",0x21593df6ff0ba9ab13b8a6730c9a1bee9bf85ac92a1a694a3c5384ecf9cd7425
13.48,20.0,484.0,0.03,0.993,301,0.585,221.0,4.5,20,"Will Slingshot launch a token by March 31, 2027?",0xc6fe57f8abc2555360e153885fc220a3c7a6e501b6566f9fb34576e0b1e44f73
13.05,20.0,532.0,0.03,0.888,576,0.855,233.0,4.5,20,"Will Slingshot launch a token by December 31, 2027?",0xdca61cae5fc26850f7527a9bc65dbcdb4f557c20ea403923df858803ea174e64
